"EventName"	"GroupName"	"RSVP"	"Date_ms"	"Date"	"Time"	"Fees"	"Location"	"Address"	"url"
"Lafayette Networking Referral Group"	"4BR - Building Better Business by Referral"	12	1.533852e+12	"2018-08-09"	"03:00:00 PM"	"NULL"	"95a Bistro and Sushi"	"1381 Forest Park Circle"	"https://www.meetup.com/4BR-Building-Better-Business-by-Referral/events/252125604/"
"Bacco Trattoria Happy Hour and Dinner"	"Boulder 50 + Dining Out"	10	1533853800000	"2018-08-09"	"03:30:00 PM"	"NULL"	"Bacco Restaurant"	"1200 Yarmouth off of N Broadway"	"https://www.meetup.com/Boulder-50-Dining-Out/events/253284300/"
"BLUEZ HOUSE  8/9/18 - NIWOT ROCK & RAILS SUMMER CONCERT SERIES-FREE"	"Longmont Social Meetup"	8	1533855600000	"2018-08-09"	"04:00:00 PM"	"NULL"	"Whistle Stop Park"	"1st and Murray"	"https://www.meetup.com/Longmont-Social-Meetup/events/251019766/"
"Thursday Evening Kick Around"	"The Boulder Collective Soccer Club"	21	1533856500000	"2018-08-09"	"04:15:00 PM"	"3"	"Casey Middle School "	"1301 High Street"	"https://www.meetup.com/Boulder-Soccer/events/253227326/"
"Enchanted Mesa / Southern Sun"	"Boulder Hiking then Dining"	10	1533857400000	"2018-08-09"	"04:30:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/Boulder-Hiking-then-Dining/events/253594794/"
"Looking for a New Organizer! Movement Thursday Night Meetup"	"Boulder Rock Climbers"	6	1533857400000	"2018-08-09"	"04:30:00 PM"	"NULL"	"Movement Climbing and Fitness"	"2845 Valmont Road "	"https://www.meetup.com/rockclimbing-80/events/253473524/"
"New Tech Boulder Monthly Meetup"	"New Tech Colorado"	91	1533859200000	"2018-08-09"	"05:00:00 PM"	"10"	"Galvanize Boulder"	"1023 Walnut St."	"https://www.meetup.com/bdnewtech/events/252758354/"
"How Freelancers Can Stop Sucking at Budgeting "	"Boulder Designers"	10	1533859200000	"2018-08-09"	"05:00:00 PM"	"NULL"	"Boulder Digital Arts"	"1600 Range Street, Suite 100"	"https://www.meetup.com/Boulder-Designers-Group-for-Women/events/253430905/"
"Vamos fazer um Happy Hour!"	"Vamos Falar Português!"	9	1533859200000	"2018-08-09"	"05:00:00 PM"	"NULL"	"Rayback Collective"	"2775 Valmont Road"	"https://www.meetup.com/VamosFalarPortugues/events/253101947/"
"The Work of Byron Katie Inquiry Circle "	"Loving What Is...The Work of Byron Katie Inquiry Circle"	11	1533859200000	"2018-08-09"	"05:00:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/Loving-What-Is-The-Work-of-Byron-Katie-Inquiry-Circle/events/251192930/"
"Learn to Code Learning Series: HTML/CSS/JavaScript August"	"Learn To Code Boulder"	6	1533859200000	"2018-08-09"	"05:00:00 PM"	"NULL"	"Galvanize Boulder"	"1023 Walnut St."	"https://www.meetup.com/Learn-To-Code-Boulder/events/253186427/"
"ROAD BIKE RIDE"	"Boulder Outdoor Adventures Meetup (Boulder, CO)"	6	1533859200000	"2018-08-09"	"05:00:00 PM"	"NULL"	"Boulder Beer"	"2880 Wilderness Place"	"https://www.meetup.com/Boulder-Outdoor-Adventures-Meetup/events/253474108/"
"80 Watt Laser Cutter Certification"	"TinkerMill: The Longmont Makerspace"	5	1533859200000	"2018-08-09"	"05:00:00 PM"	"25"	"TinkerMill on Delaware Pl."	"1840 Delaware Pl."	"https://www.meetup.com/LongmontHackerSpace/events/253284715/"
"Longmont Webmasters Meetup"	"CoSolve"	3	1533859200000	"2018-08-09"	"05:00:00 PM"	"NULL"	"CoSolve"	"350 Terry St Suite 300 "	"https://www.meetup.com/CoSolve/events/253472823/"
"Zen Meditation"	"Boulder Zen Meditation"	6	1.533861e+12	"2018-08-09"	"05:30:00 PM"	"NULL"	"Nalandabodhi"	"100 Arapahoe"	"https://www.meetup.com/Boulder-Zen-Meditation/events/252671599/"
"Open Improv - Long Form"	"Boulder Improv Collaborative"	11	1533862800000	"2018-08-09"	"06:00:00 PM"	"10"	"Wesley Chapel"	"1290 Folsom St."	"https://www.meetup.com/BoulderImprov/events/252474269/"
"Men's Circle - Sharing and Support"	"Rebooting after Divorce - a Men's Group"	9	1533862800000	"2018-08-09"	"06:00:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/Rebooting-after-Divorce-a-Mens-Group/events/252668000/"
"Thursday Night Dinner"	"Boulder Dines Out"	6	1533862800000	"2018-08-09"	"06:00:00 PM"	"NULL"	"Mateo"	"1837 Pearl St."	"https://www.meetup.com/boulder-dines/events/252399996/"
"wood shop 101 the intro class to get you on the saws"	"TinkerMill: The Longmont Makerspace"	4	1533862800000	"2018-08-09"	"06:00:00 PM"	"20"	"TinkerMill on Delaware Pl."	"1840 Delaware Pl."	"https://www.meetup.com/LongmontHackerSpace/events/253585224/"
"First Meetup!"	"Irish meetup! Chat, have craic, labhair Gaeilge más féidir."	4	1533862800000	"2018-08-09"	"06:00:00 PM"	"NULL"	"1125 18th Street"	"320 UCB"	"https://www.meetup.com/Irish-meetup-Chat-have-craic-labhair-Gaeilge-mas-feidir/events/252931225/"
"Get Your Groove Back Naturally"	"Get Your Groove Back Naturally"	4	1533862800000	"2018-08-09"	"06:00:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/get-your-groove-back-naturally/events/253475836/"
"Visionquest Open Mic!"	"Boulder Area Stand Up Comedy Meetup"	3	1533862800000	"2018-08-09"	"06:00:00 PM"	"NULL"	"VisionQuest Brewery"	" "	"https://www.meetup.com/Boulder-Area-Stand-Up-Comedy-Meetup/events/253121354/"
"The Final Percent Networking Event"	"The Final Percent Networking"	9	1533864600000	"2018-08-09"	"06:30:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/Thefinalpercent/events/252911695/"
"Karaoke at The Speakeasy"	"Longmont 20s & 30s Social Meetup"	7	1.53387e+12	"2018-08-09"	"08:00:00 PM"	"NULL"	"The Speakeasy"	"301 Main St"	"https://www.meetup.com/Longmont-20s-30s-Social-Meetup/events/252981115/"
"Let's Get Together for an Early Morning Run and Coffee!"	"Boulder Women's Running Club"	5	1.533906e+12	"2018-08-10"	"06:00:00 AM"	"NULL"	"Peet's Coffee & Tea"	"Peet's Coffee & Tea 1695 29th St. Suite 1260"	"https://www.meetup.com/Boulder-Womens-Running-Club/events/253410087/"
"Coffee and Connections - Mastermind Networking "	"Coffee and Connections, Mastermind and Networking"	3	1533911400000	"2018-08-10"	"07:30:00 AM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/coffeeconnect1/events/253489083/"
"Pot Luck Lunch!"	"Ladies Who Lunch - Lafayette and Louisville"	9	1533922200000	"2018-08-10"	"10:30:00 AM"	"NULL"	"Kathy's house"	"402 Taurus Drive"	"https://www.meetup.com/Weekday-Friendship-Group-for-Women-Boulder/events/252239066/"
"Eon Zen Sangha Serving Dinner at Boulder Homeless Shelter"	"Boulder Zen Meditation"	7	1533940200000	"2018-08-10"	"03:30:00 PM"	"NULL"	"Boulder Shelter-The Homeless"	"4869 Broadway"	"https://www.meetup.com/Boulder-Zen-Meditation/events/250512202/"
"Bear Peak via Shanahan Ridge (Meteor Shower Hike)"	"Boulder CHAOS"	24	1.533945e+12	"2018-08-10"	"04:50:00 PM"	"NULL"	"Cragmoor Connector"	" Cragmoor Connector"	"https://www.meetup.com/BoulderCHAOS/events/253400202/"
"Intro to TinkerMill's 3D Printers"	"TinkerMill: The Longmont Makerspace"	5	1533945600000	"2018-08-10"	"05:00:00 PM"	"NULL"	"TinkerMill on Delaware Pl."	"1840 Delaware Pl."	"https://www.meetup.com/LongmontHackerSpace/events/253422763/"
"Monatliches Treffen "	"Longmont / Boulder German Group"	5	1533945600000	"2018-08-10"	"05:00:00 PM"	"NULL"	"Old Chicago"	"1805 Industrial Circle"	"https://www.meetup.com/german-515/events/253252151/"
"Bike ride around Louisville- on paths and light gravel trails"	"Louisville Velo Club Women's Bike Group"	4	1533945600000	"2018-08-10"	"05:00:00 PM"	"NULL"	"Louisville Cyclery Llc"	"1032 East South Boulder Road # 103"	"https://www.meetup.com/Louisville-Velo-Club-Womens-Bike-Group/events/253500846/"
"Art Walk 2nd Fridays Longmont  (FREE Food, Drinks and Art)"	"Longmont Social Meetup"	12	1533946500000	"2018-08-10"	"05:15:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/Longmont-Social-Meetup/events/242494609/"
"In-Bodied-Love women's intensive"	"In-Bodied-Love Intensive"	4	1533947400000	"2018-08-10"	"05:30:00 PM"	"NULL"	"Rae's"	"TBA"	"https://www.meetup.com/In-Bodied-Love-Intensive/events/252548840/"
